first_name,name,birthday,email
John,Doe,1985-10-15,johndoe@example.com
Alice,Smith,1992-03-27,alice.smith@example.com
Michael,Johnson,1978-07-04,michael.johnson@example.com
Emily,Williams,1990-12-08,emily.williams@example.com
Daniel,Brown,1983-09-21,daniel.brown@example.com
Olivia,Jones,1995-06-17,olivia.jones@example.com
David,Miller,1987-02-10,david.miller@example.com
Sophia,Davis,1998-11-03,sophia.davis@example.com
Matthew,Anderson,1982-04-29,matthew.anderson@example.com
Emma,Thomas,1993-08-12,emma.thomas@example.com
